Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,484.0,490.0,481.0,489.0,451.47955322265625,7
2016-01-05,489.0,489.0,489.0,489.0,451.47955322265625,0
2016-01-06,480.0,480.0,480.0,480.0,443.17010498046875,186
2016-01-11,490.0,490.0,490.0,490.0,452.40283203125,1
2016-01-12,478.0,482.0,457.0,481.0,444.0933837890625,65
2016-01-13,483.0,486.0,483.0,486.0,448.7097473144531,3
2016-01-14,481.0,481.0,457.0,476.0,439.4770202636719,26
2016-01-15,477.0,477.0,472.0,473.0,436.70721435546875,14
2016-01-18,471.0,471.0,471.0,471.0,434.86065673828125,2
2016-01-19,476.0,476.0,471.0,471.0,434.86065673828125,115
2016-01-20,471.0,471.0,471.0,471.0,434.86065673828125,0
2016-01-21,469.0,469.0,452.0,467.0,431.1675720214844,31
2016-01-22,470.0,480.0,470.0,480.0,443.17010498046875,9
2016-01-25,472.0,481.0,472.0,481.0,444.0933837890625,2
2016-01-26,481.0,481.0,481.0,481.0,444.0933837890625,0
2016-01-27,471.0,480.0,465.0,468.0,432.0908508300781,55
2016-01-28,468.0,468.0,468.0,468.0,432.0908508300781,0
2016-01-29,470.0,470.0,450.0,450.0,415.4719543457031,422
2016-02-01,459.0,464.0,454.0,455.0,420.08831787109375,33
2016-02-02,464.0,484.0,464.0,468.0,432.0908508300781,16
2016-02-03,474.0,474.0,471.0,474.0,437.6304626464844,5
2016-02-04,470.0,475.0,470.0,475.0,438.55377197265625,4
2016-02-05,473.0,478.0,473.0,478.0,441.3235778808594,10
2016-02-08,479.0,486.0,479.0,483.0,445.9399108886719,18
2016-02-09,484.0,485.0,484.0,485.0,447.7864685058594,6
2016-02-10,476.0,486.0,455.0,475.0,438.55377197265625,108
2016-02-11,474.0,474.0,474.0,474.0,437.6304626464844,3
2016-02-12,474.0,479.0,465.0,474.0,437.6304626464844,19
2016-02-15,480.0,480.0,463.0,470.0,433.9374084472656,11
2016-02-16,470.0,470.0,470.0,470.0,433.9374084472656,0
2016-02-17,473.0,478.0,473.0,474.0,437.6304626464844,1
2016-02-18,478.0,478.0,460.0,465.0,429.3210144042969,10
2016-02-19,473.0,474.0,470.0,470.0,433.9374084472656,27
2016-02-22,470.0,470.0,470.0,470.0,433.9374084472656,0
2016-02-24,468.0,469.0,450.0,469.0,433.0141296386719,98
2016-02-25,468.0,476.0,468.0,472.0,435.783935546875,10
2016-02-26,475.0,478.0,469.0,469.0,433.0141296386719,18
2016-02-29,479.0,480.0,464.0,470.0,433.9374084472656,138
2016-03-01,464.0,480.0,463.0,464.0,428.39776611328125,155
2016-03-02,464.0,469.0,464.0,469.0,433.0141296386719,311
2016-03-03,469.0,469.0,469.0,469.0,433.0141296386719,0
2016-03-04,471.0,471.0,466.0,470.0,433.9374084472656,55
2016-03-07,470.0,470.0,465.0,465.0,429.3210144042969,11
2016-03-09,464.0,464.0,430.0,448.0,413.62542724609375,1590
2016-03-10,450.0,455.0,445.0,450.0,415.4719543457031,64
2016-03-11,455.0,456.0,446.0,451.0,416.3952331542969,97
2016-03-14,458.0,458.0,450.0,450.0,415.4719543457031,49
2016-03-15,450.0,457.0,450.0,455.0,420.08831787109375,7
2016-03-16,450.0,450.0,446.0,449.0,414.5487060546875,10
2016-03-17,450.0,450.0,436.0,440.0,406.2392578125,244
2016-03-18,437.0,440.0,435.0,440.0,406.2392578125,573
2016-03-21,440.0,440.0,440.0,440.0,406.2392578125,74
2016-03-22,444.0,486.0,431.0,447.0,412.7021484375,1918
2016-03-23,448.0,449.0,432.0,438.0,404.3927307128906,321
2016-03-24,442.0,447.0,442.0,447.0,412.7021484375,179
2016-03-25,448.0,452.0,437.0,445.0,410.8556213378906,37
2016-03-28,438.0,441.0,434.0,437.0,403.4694519042969,314
2016-03-29,436.0,436.0,425.0,427.0,394.23675537109375,315
2016-03-30,429.0,432.0,417.0,432.0,398.85308837890625,381
2016-03-31,426.0,429.0,425.0,425.0,392.3902282714844,5
2016-04-01,426.0,451.0,419.0,447.0,412.7021484375,2430
