Date,OFZ_26209
2015-01-06,690.0
2015-01-12,670.0
2015-01-13,647.5
2015-01-14,647.5
2015-01-15,690.0
2015-01-16,695.5
2015-01-19,704.991
2015-01-20,705.172
2015-01-21,706.0
2015-01-22,707.0
2015-01-23,715.0
2015-01-26,697.5
2015-01-27,710.0
2015-01-28,704.5
2015-01-29,700.2
2015-01-30,720.0
2015-02-02,740.0
2015-02-03,750.0
2015-02-04,745.0
2015-02-05,751.0
2015-02-06,760.0
2015-02-09,775.0
2015-02-10,760.0
2015-02-11,760.0
2015-02-12,759.0
2015-02-13,775.0
2015-02-16,783.5
2015-02-17,785.0
2015-02-18,800.0
2015-02-19,788.0
2015-02-20,777.002
2015-02-24,745.0
2015-02-25,750.0
2015-02-26,750.0
2015-02-27,722.0
2015-03-02,721.899
2015-03-03,739.999
2015-03-04,737.5
2015-03-05,750.0
2015-03-06,758.0
2015-03-10,760.0
2015-03-11,750.0
2015-03-12,759.0
2015-03-13,770.0
2015-03-16,760.0
2015-03-17,750.0
2015-03-18,750.0
2015-03-19,750.0
2015-03-20,765.0
2015-03-23,770.0
2015-03-24,773.5
2015-03-25,790.0
2015-03-26,800.0
2015-03-27,810.0
2015-03-30,802.128
2015-03-31,793.621
2015-04-01,819.9
2015-04-02,800.0
2015-04-03,805.0
2015-04-06,807.5
2015-04-07,812.0
2015-04-08,810.0
2015-04-09,830.0
2015-04-10,848.0
2015-04-13,845.4
2015-04-14,848.0
2015-04-15,862.0
2015-04-16,858.5
2015-04-17,846.0
2015-04-20,840.0
2015-04-21,840.0
2015-04-22,833.0
2015-04-23,838.0
2015-04-24,840.0
2015-04-27,831.0
2015-04-28,839.9
2015-04-29,840.0
2015-04-30,858.0
2015-05-05,860.016
2015-05-06,865.0
2015-05-07,865.0
2015-05-08,860.0
2015-05-12,857.5
2015-05-13,858.0
2015-05-14,859.0
2015-05-19,862.5
2015-05-20,864.999
2015-05-21,867.5
2015-05-22,867.5
2015-05-25,867.5
2015-05-26,875.0
2015-05-27,858.0
2015-05-28,852.5
2015-05-29,860.0
2015-06-01,857.5
2015-06-02,900.0
2015-06-03,857.5
2015-06-04,845.001
2015-06-05,842.75
2015-06-08,842.0
2015-06-09,852.0
2015-06-10,858.0
2015-06-11,855.0
2015-06-15,854.0
2015-06-16,847.25
2015-06-17,840.0
2015-06-18,845.75
2015-06-19,842.5
2015-06-22,847.0
2015-06-24,850.0
2015-06-25,850.0
2015-06-26,844.0
2015-06-29,840.0
2015-06-30,849.5
2015-07-01,850.0
2015-07-06,850.0
2015-07-07,837.5
2015-07-09,844.0
2015-07-10,849.374
2015-07-13,853.0
2015-07-14,843.76
2015-07-15,855.1
2015-07-16,871.0
2015-07-17,870.5
2015-07-20,870.0
2015-07-21,866.0
2015-07-22,866.0
2015-07-23,866.0
2015-07-24,866.0
2015-07-27,866.0
2015-07-28,847.0
2015-07-29,859.0
2015-07-30,856.0
2015-07-31,869.0
2015-08-03,858.0
2015-08-04,855.0
2015-08-05,854.0
2015-08-06,850.0
2015-08-07,850.0
2015-08-10,848.5
2015-08-11,848.9
2015-08-12,848.9
2015-08-13,846.926
2015-08-14,847.0
2015-08-17,844.9
2015-08-18,842.9
2015-08-19,838.5
2015-08-20,829.956
2015-08-21,819.9
2015-08-24,791.729
2015-08-25,819.999
2015-08-26,822.0
2015-08-27,822.4
2015-08-28,829.9
