Date,YNDX
2016-01-04,1064.0999755859375
2016-01-05,1133.9000244140625
2016-01-06,1112.0
2016-01-11,987.0
2016-01-12,999.0
2016-01-13,1006.0
2016-01-14,1009.0
2016-01-15,954.0
2016-01-18,963.2999877929688
2016-01-19,954.0
2016-01-20,912.5
2016-01-21,1020.0
2016-01-22,1020.0
2016-01-25,1002.0999755859375
2016-01-26,1012.0
2016-01-27,1049.9000244140625
2016-01-28,1017.4000244140625
2016-01-29,1007.0
2016-02-01,1013.0
2016-02-02,1012.0
2016-02-03,1012.5
2016-02-04,1054.0
2016-02-05,1023.0
2016-02-08,986.0
2016-02-09,992.0
2016-02-10,998.0
2016-02-11,1007.0
2016-02-12,989.0
2016-02-15,1008.0
2016-02-16,1072.0
2016-02-17,1044.0
2016-02-18,1014.0
2016-02-19,989.0
2016-02-22,1002.5
2016-02-24,974.5
2016-02-25,982.0
2016-02-26,983.5
2016-02-29,978.0
2016-03-01,989.5
2016-03-02,1003.0
2016-03-03,1018.0
2016-03-04,999.0
2016-03-07,1020.0
2016-03-09,994.0
2016-03-10,978.5
2016-03-11,979.0
2016-03-14,1023.0
2016-03-15,1004.0
2016-03-16,1021.0
2016-03-17,1032.0
2016-03-18,1032.0
2016-03-21,1022.0
2016-03-22,1023.5
2016-03-23,1020.5
2016-03-24,1028.0
2016-03-25,1032.5
2016-03-28,1013.0
2016-03-29,1036.0
2016-03-30,1041.5
2016-03-31,1022.0
2016-04-01,1028.0
2016-04-04,1033.0
2016-04-05,1039.0
2016-04-06,1041.0
2016-04-07,1060.0
2016-04-08,1018.0
2016-04-11,1045.0
2016-04-12,1088.5
2016-04-13,1127.0
2016-04-14,1109.5
2016-04-15,1109.0
2016-04-18,1130.0
2016-04-19,1148.0
2016-04-20,1186.0
2016-04-21,1200.0
2016-04-22,1196.0
2016-04-25,1178.0
2016-04-26,1173.0
2016-04-27,1194.0
2016-04-28,1300.0
2016-04-29,1301.0
2016-05-04,1337.5
2016-05-05,1316.5
2016-05-06,1291.0
2016-05-10,1291.5
2016-05-11,1286.0
2016-05-12,1277.0
2016-05-13,1276.5
2016-05-16,1297.0
2016-05-17,1279.5
2016-05-18,1267.5
2016-05-19,1261.0
2016-05-20,1278.0
2016-05-23,1288.0
2016-05-24,1289.5
2016-05-25,1305.0
2016-05-26,1303.5
2016-05-27,1311.0
2016-05-30,1318.0
2016-05-31,1357.0
2016-06-01,1368.5
2016-06-02,1371.0
2016-06-03,1370.0
2016-06-06,1399.5
2016-06-07,1413.0
2016-06-08,1451.5
2016-06-09,1464.0
2016-06-10,1430.0
2016-06-14,1375.5
2016-06-15,1408.5
2016-06-16,1382.0
2016-06-17,1406.0
2016-06-20,1418.5
2016-06-21,1375.5
2016-06-22,1407.0
2016-06-23,1428.0
2016-06-24,1379.5
2016-06-27,1291.0
2016-06-28,1336.0
2016-06-29,1372.5
2016-06-30,1399.0
2016-07-01,1403.0
2016-07-04,1390.0
2016-07-05,1383.0
2016-07-06,1372.0
2016-07-07,1390.0
2016-07-08,1413.0
2016-07-11,1407.0
2016-07-12,1473.0
2016-07-13,1403.0
2016-07-14,1391.0
2016-07-15,1375.0
2016-07-18,1354.0
2016-07-19,1345.5
2016-07-20,1360.0
2016-07-21,1376.0
2016-07-22,1387.5
2016-07-25,1379.5
2016-07-26,1404.0
2016-07-27,1419.0
2016-07-28,1485.5
2016-07-29,1442.0
2016-08-01,1439.0
2016-08-02,1416.0
2016-08-03,1409.0
2016-08-04,1417.0
2016-08-05,1429.0
2016-08-08,1420.0
2016-08-09,1447.0
2016-08-10,1447.0
2016-08-11,1485.0
2016-08-12,1506.0
2016-08-15,1498.0
2016-08-16,1491.0
2016-08-17,1456.0
2016-08-18,1451.0
2016-08-19,1445.5
2016-08-22,1441.0
2016-08-23,1449.0
2016-08-24,1453.0
2016-08-25,1444.5
2016-08-26,1447.0
2016-08-29,1440.0
2016-08-30,1437.5
2016-08-31,1428.0
2016-09-01,1464.0
2016-09-02,1463.0
2016-09-05,1455.5
2016-09-06,1441.0
2016-09-07,1418.0
2016-09-08,1409.0
2016-09-09,1370.0
2016-09-12,1350.0
2016-09-13,1326.0
2016-09-14,1321.5
2016-09-15,1319.5
2016-09-16,1335.0
2016-09-19,1341.0
2016-09-20,1341.0
2016-09-21,1348.5
2016-09-22,1401.0
2016-09-23,1398.5
2016-09-26,1370.0
2016-09-27,1353.0
2016-09-28,1355.0
2016-09-29,1353.0
2016-09-30,1341.0
2016-10-03,1356.0
2016-10-04,1346.0
2016-10-05,1371.0
2016-10-06,1376.5
2016-10-07,1367.0
2016-10-10,1352.5
2016-10-11,1350.5
2016-10-12,1290.0
2016-10-13,1231.0
2016-10-14,1212.0
2016-10-17,1186.0
2016-10-18,1228.5
2016-10-19,1238.5
2016-10-20,1234.0
2016-10-21,1213.5
2016-10-24,1221.0
2016-10-25,1222.5
2016-10-26,1194.5
2016-10-27,1261.0
2016-10-28,1270.0
2016-10-31,1256.0
2016-11-01,1243.5
2016-11-02,1212.0
2016-11-03,1190.0
2016-11-07,1196.0
2016-11-08,1197.0
2016-11-09,1234.0
2016-11-10,1240.5
2016-11-11,1225.0
2016-11-14,1195.0
2016-11-15,1170.0
2016-11-16,1164.0
2016-11-17,1150.0
2016-11-18,1203.5
2016-11-21,1201.0
2016-11-22,1177.0
2016-11-23,1228.0
2016-11-24,1228.5
2016-11-25,1221.5
2016-11-28,1213.0
2016-11-29,1215.0
2016-11-30,1201.5
2016-12-01,1217.0
2016-12-02,1197.5
2016-12-05,1199.0
2016-12-06,1231.0
2016-12-07,1243.0
2016-12-08,1252.0
2016-12-09,1248.0
2016-12-12,1240.0
2016-12-13,1277.0
2016-12-14,1282.5
2016-12-15,1292.0
2016-12-16,1263.0
2016-12-19,1255.0
2016-12-20,1267.0
2016-12-21,1245.0
2016-12-22,1246.0
2016-12-23,1256.0
2016-12-26,1245.0
2016-12-27,1237.0
2016-12-28,1228.0
2016-12-29,1241.0
2016-12-30,1247.5
2017-01-03,1241.0
2017-01-04,1240.0
2017-01-05,1252.0
2017-01-06,1291.0
2017-01-09,1317.0
2017-01-10,1319.5
2017-01-11,1299.0
2017-01-12,1271.5
2017-01-13,1286.5
2017-01-16,1305.0
2017-01-17,1303.0
2017-01-18,1299.0
2017-01-19,1307.0
2017-01-20,1315.0
2017-01-23,1295.0
2017-01-24,1349.0
2017-01-25,1381.0
2017-01-26,1411.0
2017-01-27,1418.5
2017-01-30,1370.0
2017-01-31,1379.0
2017-02-01,1384.0
2017-02-02,1370.0
2017-02-03,1387.0
2017-02-06,1357.5
2017-02-07,1382.0
2017-02-08,1350.0
2017-02-09,1356.5
2017-02-10,1345.0
2017-02-13,1335.0
2017-02-14,1312.0
2017-02-15,1316.0
2017-02-16,1401.0
2017-02-17,1425.0
2017-02-20,1425.0
2017-02-21,1395.0
2017-02-22,1398.5
2017-02-24,1368.5
2017-02-27,1354.0
2017-02-28,1330.0
2017-03-01,1334.0
2017-03-02,1358.5
2017-03-03,1370.0
2017-03-06,1359.0
2017-03-07,1364.0
2017-03-09,1359.5
2017-03-10,1360.0
2017-03-13,1366.5
2017-03-14,1357.0
2017-03-15,1341.0
2017-03-16,1375.0
2017-03-17,1354.0
2017-03-20,1348.0
2017-03-21,1311.0
2017-03-22,1291.0
2017-03-23,1288.0
2017-03-24,1280.5
2017-03-27,1261.0
2017-03-28,1277.5
2017-03-29,1262.0
2017-03-30,1247.5
2017-03-31,1245.5
2017-04-03,1242.0
2017-04-04,1239.0
2017-04-05,1298.0
2017-04-06,1289.0
2017-04-07,1260.0
2017-04-10,1249.5
2017-04-11,1250.5
2017-04-12,1284.0
2017-04-13,1289.0
2017-04-14,1268.5
2017-04-17,1367.5
2017-04-18,1336.5
2017-04-19,1331.5
2017-04-20,1328.0
2017-04-21,1310.0
2017-04-24,1317.0
2017-04-25,1338.0
2017-04-26,1404.0
2017-04-27,1520.0
2017-04-28,1534.5
2017-05-02,1549.0
2017-05-03,1528.0
2017-05-04,1581.0
2017-05-05,1570.0
2017-05-10,1590.0
2017-05-11,1562.5
2017-05-12,1592.0
2017-05-15,1619.0
2017-05-16,1611.0
2017-05-17,1608.0
2017-05-18,1565.0
2017-05-19,1611.5
2017-05-22,1608.0
2017-05-23,1611.5
2017-05-24,1611.0
2017-05-25,1584.0
2017-05-26,1568.0
2017-05-29,1573.5
2017-05-30,1552.0
2017-05-31,1505.0
2017-06-01,1520.0
2017-06-02,1478.0
2017-06-05,1525.0
2017-06-06,1524.5
2017-06-07,1527.0
2017-06-08,1519.0
2017-06-09,1541.5
2017-06-13,1480.0
2017-06-14,1482.5
2017-06-15,1495.5
2017-06-16,1464.5
2017-06-19,1541.0
2017-06-20,1554.0
2017-06-21,1584.0
2017-06-22,1618.0
2017-06-23,1616.5
2017-06-26,1608.0
2017-06-27,1582.5
2017-06-28,1612.0
2017-06-29,1588.0
2017-06-30,1536.0
2017-07-03,1558.0
2017-07-04,1569.5
2017-07-05,1558.5
2017-07-06,1564.5
2017-07-07,1581.0
2017-07-10,1596.0
2017-07-11,1612.0
2017-07-12,1632.0
2017-07-13,1898.5
2017-07-14,1867.0
2017-07-17,1866.0
2017-07-18,1867.0
2017-07-19,1849.0
2017-07-20,1845.0
2017-07-21,1858.0
2017-07-24,1916.0
2017-07-25,1906.0
2017-07-26,1899.5
2017-07-27,1888.5
2017-07-28,1754.5
2017-07-31,1743.0
2017-08-01,1748.0
2017-08-02,1719.0
2017-08-03,1744.0
2017-08-04,1770.5
2017-08-07,1795.5
2017-08-08,1792.5
2017-08-09,1835.5
2017-08-10,1786.0
2017-08-11,1731.5
2017-08-14,1765.5
2017-08-15,1798.0
2017-08-16,1818.0
2017-08-17,1832.0
2017-08-18,1785.0
2017-08-21,1769.0
2017-08-22,1756.0
2017-08-23,1765.0
2017-08-24,1768.0
2017-08-25,1757.0
2017-08-28,1725.5
2017-08-29,1743.0
2017-08-30,1728.5
2017-08-31,1752.0
2017-09-01,1820.0
2017-09-04,1833.0
2017-09-05,1868.5
2017-09-06,1843.0
2017-09-07,1820.0
2017-09-08,1865.5
2017-09-11,1867.0
2017-09-12,1903.5
2017-09-13,1876.0
2017-09-14,1858.0
2017-09-15,1895.0
2017-09-18,1895.0
2017-09-19,1873.0
2017-09-20,1872.0
2017-09-21,1872.0
2017-09-22,1922.0
2017-09-25,1853.0
2017-09-26,1848.0
2017-09-27,1867.0
2017-09-28,1856.0
2017-09-29,1873.0
2017-10-02,1906.5
2017-10-03,1961.0
2017-10-04,1942.5
2017-10-05,1925.0
2017-10-06,1893.0
2017-10-09,1920.0
2017-10-10,1840.0
2017-10-11,1855.5
2017-10-12,1863.0
2017-10-13,1858.0
2017-10-16,1832.0
2017-10-17,1833.0
2017-10-18,1852.0
2017-10-19,1839.5
2017-10-20,1796.0
2017-10-23,1799.0
2017-10-24,1889.0
2017-10-25,1855.0
2017-10-26,1896.0
2017-10-27,1917.5
2017-10-30,1898.0
2017-10-31,1950.0
2017-11-01,1991.5
2017-11-02,1932.0
2017-11-03,1965.0
2017-11-07,1950.5
2017-11-08,1935.5
2017-11-09,1890.0
2017-11-10,1856.5
2017-11-13,1860.0
2017-11-14,1890.0
2017-11-15,1873.0
2017-11-16,1925.5
2017-11-17,1949.5
2017-11-20,2002.5
2017-11-21,2038.0
2017-11-22,1975.0
2017-11-23,1987.5
2017-11-24,2025.0
2017-11-27,2017.0
2017-11-28,1991.5
2017-11-29,1957.0
2017-11-30,1940.5
2017-12-01,1931.5
2017-12-04,1907.0
2017-12-05,1899.0
2017-12-06,1900.0
2017-12-07,1949.5
2017-12-08,1957.0
2017-12-11,1997.5
2017-12-12,1954.0
2017-12-13,1938.0
2017-12-14,1919.0
2017-12-15,1895.0
2017-12-18,1892.0
2017-12-19,1902.0
2017-12-20,1873.5
2017-12-21,1884.0
2017-12-22,1832.0
2017-12-25,1847.0
2017-12-26,1840.0
2017-12-27,1865.0
2017-12-28,1883.5
2017-12-29,1894.0
2018-01-03,1943.5
2018-01-04,1978.0
2018-01-05,1942.5
2018-01-09,1963.0
2018-01-10,1972.0
2018-01-11,1965.0
2018-01-12,1955.0
2018-01-15,1970.0
2018-01-16,1992.5
2018-01-17,2035.0
2018-01-18,2099.0
2018-01-19,2098.5
2018-01-22,2118.5
2018-01-24,2138.0
2018-01-25,2134.0
2018-01-26,2176.0
2018-01-29,2197.5
2018-01-30,2153.5
2018-01-31,2179.0
2018-02-01,2202.0
2018-02-02,2150.0
2018-02-05,2150.0
2018-02-06,2054.0
2018-02-07,2140.5
2018-02-08,2159.0
2018-02-09,2086.5
2018-02-12,2127.0
2018-02-13,2135.0
2018-02-14,2200.0
2018-02-15,2283.5
2018-02-16,2371.5
2018-02-19,2416.5
2018-02-20,2413.0
2018-02-21,2473.5
2018-02-22,2438.0
2018-02-26,2382.0
2018-02-27,2386.0
2018-02-28,2343.5
2018-03-01,2304.5
2018-03-02,2280.5
2018-03-05,2347.5
2018-03-06,2389.5
2018-03-07,2427.5
2018-03-09,2490.5
2018-03-12,2450.0
2018-03-13,2415.0
2018-03-14,2430.5
2018-03-15,2444.0
2018-03-16,2436.0
2018-03-19,2426.0
2018-03-20,2453.0
2018-03-21,2497.5
2018-03-22,2385.0
2018-03-23,2385.5
2018-03-26,2324.5
2018-03-27,2364.0
2018-03-28,2265.0
2018-03-29,2314.0
2018-03-30,2287.0
2018-04-02,2253.0
2018-04-03,2260.0
2018-04-04,2228.0
2018-04-05,2315.0
2018-04-06,2310.5
2018-04-09,2134.0
2018-04-10,2169.0
2018-04-11,2240.0
2018-04-12,2157.0
2018-04-13,2083.5
2018-04-16,2020.5
2018-04-17,2103.5
2018-04-18,2142.0
2018-04-19,2096.5
2018-04-20,2082.0
2018-04-23,2140.5
2018-04-24,2105.5
2018-04-25,2025.0
2018-04-26,2061.0
2018-04-27,2015.5
2018-04-30,2097.5
2018-05-02,2215.0
2018-05-03,2130.5
2018-05-04,2107.0
2018-05-07,2152.5
2018-05-08,2127.5
2018-05-10,2190.0
2018-05-11,2202.0
2018-05-14,2186.0
2018-05-15,2118.5
2018-05-16,2118.0
2018-05-17,2131.0
2018-05-18,2114.0
2018-05-21,2149.5
2018-05-22,2122.5
2018-05-23,2086.5
2018-05-24,2094.0
2018-05-25,2089.5
2018-05-28,2102.5
2018-05-29,2070.0
2018-05-30,2065.5
2018-05-31,2076.5
2018-06-01,2137.0
2018-06-04,2163.5
2018-06-05,2230.0
2018-06-06,2214.0
2018-06-07,2175.0
2018-06-08,2142.0
2018-06-11,2192.5
2018-06-13,2290.5
2018-06-14,2292.0
2018-06-15,2268.0
2018-06-18,2287.0
2018-06-19,2295.0
2018-06-20,2301.5
2018-06-21,2270.5
2018-06-22,2217.0
2018-06-25,2177.0
2018-06-26,2185.0
2018-06-27,2227.5
2018-06-28,2193.5
2018-06-29,2244.0
2018-07-02,2253.5
2018-07-03,2254.0
2018-07-04,2236.0
2018-07-05,2226.0
2018-07-06,2315.0
2018-07-09,2320.5
2018-07-10,2311.5
2018-07-11,2303.0
2018-07-12,2345.0
2018-07-13,2380.5
2018-07-16,2323.0
2018-07-17,2420.0
2018-07-18,2398.5
2018-07-19,2381.0
2018-07-20,2329.5
2018-07-23,2333.0
2018-07-24,2377.0
2018-07-25,2391.5
2018-07-26,2430.0
2018-07-27,2388.0
2018-07-30,2242.5
2018-07-31,2250.0
2018-08-01,2272.0
2018-08-02,2237.0
2018-08-03,2252.5
2018-08-06,2230.5
2018-08-07,2272.5
2018-08-08,2185.0
2018-08-09,2132.0
2018-08-10,2128.0
2018-08-13,2152.5
2018-08-14,2150.0
2018-08-15,2091.0
2018-08-16,2123.5
2018-08-17,2099.0
2018-08-20,2133.5
2018-08-21,2164.0
2018-08-22,2137.0
2018-08-23,2120.0
2018-08-24,2115.0
2018-08-27,2151.0
2018-08-28,2153.5
2018-08-29,2168.5
2018-08-30,2142.0
2018-08-31,2150.0
2018-09-03,2179.5
2018-09-04,2168.0
2018-09-05,2125.0
2018-09-06,2105.5
2018-09-07,2098.5
2018-09-10,2111.5
2018-09-11,2094.5
2018-09-12,2066.5
2018-09-13,2132.0
2018-09-14,2187.0
2018-09-17,2148.0
2018-09-18,2144.5
2018-09-19,2145.0
2018-09-20,2174.5
2018-09-21,2204.0
2018-09-24,2193.5
2018-09-25,2213.0
2018-09-26,2216.0
2018-09-27,2185.0
2018-09-28,2160.5
2018-10-01,2134.0
2018-10-02,2136.5
2018-10-03,2172.5
2018-10-04,2157.5
2018-10-05,2143.0
2018-10-08,2170.5
2018-10-09,2220.0
2018-10-10,2146.0
2018-10-11,2118.0
2018-10-12,2140.0
2018-10-15,2178.0
2018-10-16,2307.0
2018-10-17,2310.0
2018-10-18,2235.0
2018-10-19,1790.0
2018-10-22,1755.0
2018-10-23,1754.5
2018-10-24,1781.0
2018-10-25,1777.0
2018-10-26,1746.5
2018-10-29,1859.5
2018-10-30,1843.0
2018-10-31,1916.5
